url,No&Typeengines,NO ENGINES,AircraftType&reg,Year_of_Manufacture,Yr Manuf,AgeAircraft,AGE AIRCRAFT BAND,Date & Time,Time,TIME BAND,Date,SEASON,DAY OF WK,Year,Location,TYPE OF FLIGHT,NoCrew&Passengers,No of passengers,Injuries,INJURY CLASS,Aircraft Damage,DAMAGE CLASSIFICATION,PIC LICENCE,pic age,PIC AGE BAND,Total hrs,TOTAL HRS,Type Hrs,TYPE HRS,90 day Hrs,90 DAY HRS,28 day Hrs,28 DAY HRS
https://assets.digital.cabinet-office.gov.uk/media/566944a9ed915d035f000006/Piper_PA-28-180_Cherokee_G-AVZR_12-15.pdf, 1 lycoming o-360-a4m piston engine,1,":  piper pa-28-180 cherokee, g-avzr",1967 (serial no28-4114),1967,48,5, 18 july 2015 at 1545,1545,1500-1759,18/07/2015,Summer,Sat,2015,":  north coates airfield, lincolnshire",training/instruction,: crew - 2 passengers - 2,2,: crew - none passengers - 1 (minor),3,:  extensive (left wing detached),2,airline transport pilot licence,57,51-60,1199,4,314,5,23,4,10,4
https://assets.digital.cabinet-office.gov.uk/media/5669447fe5274a105e000000/Piper_PA-28-140_Cherokee_G-BCJN_12-15.pdf, 1 lycoming o-320-e3d piston engine,1,":  piper pa-28-140 cherokee, g-bcjn",1974 (serial no28-7425350),1974,41,5, 7 september 2015 at 1339,1339,1200-1459,07/09/2015,Autumn,Mon,2015,":  cotswold airport, gloucestershire",training/instruction,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  damage to propeller and engine mounts, 
engine possibly shock-loaded",3,student,18,16-20,32,1,32,2,15,3,15,4
https://assets.digital.cabinet-office.gov.uk/media/56694450ed915d0362000000/Extra_EA_300L_G-KIII_12-15.pdf, 1 lycoming aeio-540-l1b5 piston engine,1,":  extra ea 300/l, g-kiii",2006 (serial no1246),2006,9,1, 26 september 2015 at 1553,1553,1500-1759,26/09/2015,Autumn,Sat,2015,:  swansea airport,private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  landing gear, propeller and lower outer edge of 
right wing",3,private pilot licence,59,51-60,960,4,520,5,10,3,3,2
https://assets.digital.cabinet-office.gov.uk/media/56694424e5274a105b000002/Europa_G-OWWW_12-15.pdf, 1 rotax 912uls piston engine,1,":  europa, g-owww",2003 (serial nopfa 247-12683),2003,12,2, 29 august 2015 at 1230,1230,1200-1459,29/08/2015,Summer,Sat,2015,":  lydeway field, near devizes, wiltshire",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,":  damage to both wings, propeller and 
windscreen",3,private pilot licence,68,61-70,1710,4,1010,5,42,4,13,4
https://assets.digital.cabinet-office.gov.uk/media/566943e340f0b60369000000/Druine_D.62A_Condor_G-ASEU_12-15.pdf," 1 continental motors corp c90-8f piston 
engine",1,":  druine d.62a condor, g-aseu",1963 (serial norae/607),1963,52,5, 18 april 2015 at 1235,1235,1200-1459,18/04/2015,Spring,Sat,2015,":  insch airfield, aberdeenshire",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  extensive damage to the wings and forward 
fuselage; engine shock-loaded",2,private pilot licence,81,70+,740,4,583,5,6,2,3,2
https://assets.digital.cabinet-office.gov.uk/media/566943bbe5274a105b000000/Cessna_172N_Skyhawk_G-OSII_12-15.pdf, 1 lycoming o-320-h2ad piston engine,1,":  cessna 172n skyhawk, g-osii",1976 (serial no172-67768),1976,39,4, 20 august 2015 at 1650,1650,1500-1759,20/08/2015,Summer,Thu,2015,":  andrewsfield aerodrome, essex",private,: crew - 1 passengers - 2,2,: crew - none passengers - none,4,:  nose landing gear and propeller damaged,3,private pilot licence,68,61-70,272,2,185,4,5,2,3,2
https://assets.digital.cabinet-office.gov.uk/media/56694390ed915d035f000004/Cessna_172B_Skyhawk_G-ARMR_12-15.pdf," 1 continental motors corp o-300-d piston 
engine",1,":  cessna 172b skyhawk, g-armr",1961 (serial no172-48566),1961,54,5, 7 june 2015 at 1133,1133,0900-1159,07/06/2015,Summer,Sun,2015,":  sandown airport, isle of wight",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,:  nosewheel collapsed and damage to propeller,3,private pilot licence,52,51-60,253,2,76,3,10,3,7,3
https://assets.digital.cabinet-office.gov.uk/media/56694351ed915d035f000002/Boeing_B75N1_Stearman_N56200_12-15.pdf, 1 lycoming r680 piston engine,1,":  boeing b75n1 stearman, n56200",1943,1943,72,6, 17 august 2015 at 1115,1115,0900-1159,17/08/2015,Summer,Mon,2015,":  goodwood aerodrome, sussex",private,: crew ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1,: crew - none passengers - none,4,:  damage to propeller and tears in left wing,3,private pilot licence,53,51-60,1430,4,350,5,16,3,9,3
https://assets.digital.cabinet-office.gov.uk/media/56444dfde5274a59dc000020/Reims_Cessna_FRA150L_Aerobat_G-PHOR_11-15.pdf," 1 continental motors corp o-240-a piston 
engine",1,":  reims cessna fra150l aerobat, g-phor",1972 (serial no0157),1972,43,5, 11 august 2015 at 1455,1455,1200-1459,11/08/2015,Summer,Tue,2015,":  netherthorpe airfield, nottinghamshire",training/instruction,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  damage to nose gear, propeller, engine, engine 
frame and left wing rear spar",3,student,58,51-60,18,1,18,2,15,3,5,3
https://assets.digital.cabinet-office.gov.uk/media/56444d9c40f0b674d6000021/Pulsar_G-MCMS_11-15.pdf, 1 rotax 582 piston engine,1,":  pulsar, g-mcms",1993 (serial nopfa 202-1982),1993,22,3, 26 may 2015 at 1550,1550,1500-1759,26/05/2015,Spring,Tue,2015,":  pembrey airport, carmarthenshire",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,":  propeller, spinner, lower front fuselage, wheels 
and wheel fairings, leading edge and tip of one 
wing",3,private pilot licence,74,70+,832,4,3,1,3,1,3,2
